timestamp(ms);HeadAccelerometer.X;HeadAccelerometer.Y;HeadAccelerometer.Z;HeadGyroscope.X;HeadGyroscope.Y;HeadGyroscope.Z;Hand Accelerometer 0.X;Hand Accelerometer 0.Y;Hand Accelerometer 0.Z;Hand Gyroscope 0.X;Hand Gyroscope 0.Y;Hand Gyroscope 0.Z;Hand Accelerometer 1.X;Hand Accelerometer 1.Y;Hand Accelerometer 1.Z;Hand Gyroscope 1.X;Hand Gyroscope 1.Y;Hand Gyroscope 1.Z
741871;-0.02996646;0.0002601532;0.0255986;356.9117;305.9342;2.436872;;;;;;;;;;;;
741871;-0.03297428;-0.002340298;0.02948162;356.9777;305.9546;2.350488;;;;;;;;;;;;
741871;-0.03571583;-0.004372618;0.03350713;357.0548;305.9794;2.278155;;;;;;;;;;;;
741871;-0.03745918;-0.004876003;0.03676176;357.1218;306.0109;2.203188;;;;;;;;;;;;
741871;-0.04048045;-0.004698121;0.04200453;357.2144;306.0417;2.15431;;;;;;;;;;;;
741871;-0.04317731;-0.005549879;0.04634605;357.3058;306.0851;2.080662;;;;;;;;;;;;
741871;-0.04663913;-0.008340257;0.05077687;357.4108;306.1486;1.983376;;;;;;;;;;;;
741871;-0.04961448;-0.0106572;0.05488465;357.5628;306.218;1.876619;;;;;;;;;;;;
741871;-0.05155928;-0.01271176;0.05866827;357.7274;306.282;1.772076;;;;;;;;;;;;
741871;-0.05380921;-0.01474695;0.06216187;357.946;306.3708;1.681762;;;;;;;;;;;;
741871;-0.05587105;-0.01713782;0.0643592;358.1963;306.4734;1.598322;;;;;;;;;;;;
741871;-0.05743335;-0.02079543;0.06701341;358.4983;306.5797;1.515161;;;;;;;;;;;;
741871;-0.05944278;-0.02455093;0.06786477;358.8325;306.6868;1.435731;;;;;;;;;;;;
741871;-0.05987838;-0.02851566;0.06854472;359.1655;306.7623;1.381072;;;;;;;;;;;;
741871;-0.05988432;-0.03037026;0.0673155;359.4647;306.8464;1.335166;;;;;;;;;;;;
741871;-0.05969715;-0.03142862;0.0664421;359.7335;306.9017;1.345337;;;;;;;;;;;;
741871;-0.0595841;-0.02960709;0.06555223;359.9881;306.9691;1.348323;;;;;;;;;;;;
